Timestamp,ModelID,InputTokens,OutputTokens,RequestID
2026-06-01 00:02:03,mistral-large,1250,657,req_123
2026-06-01 00:02:04,mistral-large,65,729,req_124
2026-06-01 00:02:05,llama-3-70b,375,237,req_125
2026-06-01 00:02:06,mistral-large,1732,398,req_126
2026-06-01 00:02:07,llama-3-70b,1537,505,req_127
2026-06-01 00:02:08,mistral-large,1777,699,req_128
2026-06-01 00:02:09,gpt-4o,1800,255,req_129
2026-06-01 00:02:10,mistral-large,1958,525,req_130
2026-06-01 00:02:11,llama-3-70b,464,83,req_131
2026-06-01 00:02:12,llama-3-70b,113,56,req_132
2026-06-01 00:02:13,gpt-4o,86,902,req_133
2026-06-01 00:02:14,mistral-large,239,925,req_134
2026-06-01 00:02:15,mistral-large,1947,785,req_135
2026-06-01 00:02:16,gpt-4o,1291,230,req_136
2026-06-01 00:02:17,mistral-large,1297,55,req_137
2026-06-01 00:02:18,mistral-large,340,190,req_138
2026-06-01 00:02:19,llama-3-70b,2026,38,req_139
2026-06-01 00:02:20,mistral-large,1215,807,req_140
2026-06-01 00:02:21,mistral-large,902,746,req_141
2026-06-01 00:02:22,gpt-4o,1801,135,req_142
2026-06-01 00:02:23,gpt-4o,1583,1006,req_143
2026-06-01 00:02:24,llama-3-70b,697,636,req_144
2026-06-01 00:02:25,mistral-large,36,447,req_145
2026-06-01 00:02:26,mistral-large,1309,842,req_146
2026-06-01 00:02:27,mistral-large,1685,763,req_147
2026-06-01 00:02:28,llama-3-70b,308,436,req_148
2026-06-01 00:02:29,llama-3-70b,966,708,req_149
2026-06-01 00:02:30,gpt-4o,808,501,req_150
2026-06-01 00:02:31,llama-3-70b,1124,407,req_151
2026-06-01 00:02:32,mistral-large,489,327,req_152
2026-06-01 00:02:33,mistral-large,582,214,req_153
2026-06-01 00:02:34,llama-3-70b,467,619,req_154
2026-06-01 00:02:35,mistral-large,1484,333,req_155
2026-06-01 00:02:36,mistral-large,374,376,req_156
2026-06-01 00:02:37,llama-3-70b,868,464,req_157
2026-06-01 00:02:38,llama-3-70b,1708,137,req_158
2026-06-01 00:02:39,mistral-large,360,839,req_159
2026-06-01 00:02:40,mistral-large,1688,655,req_160
2026-06-01 00:02:41,mistral-large,1433,125,req_161
2026-06-01 00:02:42,gpt-4o,262,610,req_162
2026-06-01 00:02:43,gpt-4o,790,456,req_163
2026-06-01 00:02:44,gpt-4o,1914,969,req_164
2026-06-01 00:02:45,llama-3-70b,812,133,req_165
2026-06-01 00:02:46,gpt-4o,1021,95,req_166
2026-06-01 00:02:47,llama-3-70b,468,608,req_167
2026-06-01 00:02:48,llama-3-70b,1732,579,req_168
2026-06-01 00:02:49,gpt-4o,926,33,req_169
2026-06-01 00:02:50,gpt-4o,508,726,req_170
2026-06-01 00:02:51,gpt-4o,959,528,req_171
2026-06-01 00:02:52,mistral-large,2004,337,req_172
2026-06-01 00:02:53,gpt-4o,1959,301,req_173
2026-06-01 00:02:54,mistral-large,517,134,req_174
2026-06-01 00:02:55,llama-3-70b,1337,297,req_175
2026-06-01 00:02:56,mistral-large,510,177,req_176
2026-06-01 00:02:57,gpt-4o,812,724,req_177
2026-06-01 00:02:58,llama-3-70b,607,948,req_178
2026-06-01 00:02:59,llama-3-70b,175,28,req_179
2026-06-01 00:03:00,llama-3-70b,1448,103,req_180
2026-06-01 00:03:01,mistral-large,471,410,req_181
2026-06-01 00:03:02,gpt-4o,929,360,req_182
2026-06-01 00:03:03,llama-3-70b,123,143,req_183
2026-06-01 00:03:04,llama-3-70b,1466,507,req_184
2026-06-01 00:03:05,llama-3-70b,1001,830,req_185
2026-06-01 00:03:06,mistral-large,1389,178,req_186
2026-06-01 00:03:07,mistral-large,1961,33,req_187
2026-06-01 00:03:08,gpt-4o,1728,935,req_188
2026-06-01 00:03:09,mistral-large,216,500,req_189
2026-06-01 00:03:10,llama-3-70b,1801,1018,req_190
2026-06-01 00:03:11,gpt-4o,1268,659,req_191
2026-06-01 00:03:12,llama-3-70b,1475,832,req_192
2026-06-01 00:03:13,llama-3-70b,1388,355,req_193
2026-06-01 00:03:14,mistral-large,524,558,req_194
2026-06-01 00:03:15,gpt-4o,1241,1005,req_195
2026-06-01 00:03:16,mistral-large,718,303,req_196
2026-06-01 00:03:17,mistral-large,1886,724,req_197
2026-06-01 00:03:18,gpt-4o,1158,846,req_198
2026-06-01 00:03:19,llama-3-70b,147,949,req_199
2026-06-01 00:03:20,llama-3-70b,348,196,req_200
2026-06-01 00:03:21,gpt-4o,546,676,req_201
2026-06-01 00:03:22,llama-3-70b,77,68,req_202
2026-06-01 00:03:23,gpt-4o,1606,759,req_203
2026-06-01 00:03:24,gpt-4o,1574,774,req_204
2026-06-01 00:03:25,mistral-large,392,668,req_205
2026-06-01 00:03:26,gpt-4o,28,219,req_206
2026-06-01 00:03:27,mistral-large,692,838,req_207
2026-06-01 00:03:28,llama-3-70b,1483,170,req_208
2026-06-01 00:03:29,llama-3-70b,83,547,req_209
2026-06-01 00:03:30,llama-3-70b,582,887,req_210
2026-06-01 00:03:31,llama-3-70b,948,236,req_211
2026-06-01 00:03:32,mistral-large,1698,798,req_212
2026-06-01 00:03:33,llama-3-70b,1309,545,req_213
2026-06-01 00:03:34,gpt-4o,1081,199,req_214
2026-06-01 00:03:35,gpt-4o,220,510,req_215
2026-06-01 00:03:36,gpt-4o,864,338,req_216
2026-06-01 00:03:37,mistral-large,1953,772,req_217
2026-06-01 00:03:38,llama-3-70b,660,797,req_218
2026-06-01 00:03:39,llama-3-70b,1655,308,req_219
2026-06-01 00:03:40,llama-3-70b,1003,837,req_220
2026-06-01 00:03:41,mistral-large,704,441,req_221
2026-06-01 00:03:42,gpt-4o,549,327,req_222
2026-06-01 00:03:43,gpt-4o,1742,506,req_223
2026-06-01 00:03:44,llama-3-70b,1224,862,req_224
2026-06-01 00:03:45,gpt-4o,1348,918,req_225
2026-06-01 00:03:46,gpt-4o,910,397,req_226
2026-06-01 00:03:47,mistral-large,1596,810,req_227
2026-06-01 00:03:48,mistral-large,1694,603,req_228
2026-06-01 00:03:49,mistral-large,789,153,req_229
2026-06-01 00:03:50,mistral-large,1595,765,req_230
2026-06-01 00:03:51,llama-3-70b,1933,837,req_231
2026-06-01 00:03:52,mistral-large,1791,409,req_232
2026-06-01 00:03:53,gpt-4o,1146,287,req_233
2026-06-01 00:03:54,llama-3-70b,179,366,req_234
2026-06-01 00:03:55,gpt-4o,1501,383,req_235
2026-06-01 00:03:56,gpt-4o,1711,202,req_236
2026-06-01 00:03:57,gpt-4o,1954,1019,req_237
2026-06-01 00:03:58,mistral-large,1047,560,req_238
2026-06-01 00:03:59,mistral-large,1748,360,req_239
2026-06-01 00:04:00,llama-3-70b,297,544,req_240
2026-06-01 00:04:01,llama-3-70b,1940,433,req_241
2026-06-01 00:04:02,mistral-large,198,21,req_242
2026-06-01 00:04:03,gpt-4o,923,643,req_243
2026-06-01 00:04:04,llama-3-70b,1188,383,req_244
2026-06-01 00:04:05,mistral-large,1600,684,req_245
2026-06-01 00:04:06,mistral-large,703,510,req_246
2026-06-01 00:04:07,mistral-large,1755,760,req_247
2026-06-01 00:04:08,gpt-4o,897,903,req_248
2026-06-01 00:04:09,mistral-large,480,80,req_249
2026-06-01 00:04:10,mistral-large,1108,235,req_250
2026-06-01 00:04:11,mistral-large,286,720,req_251
2026-06-01 00:04:12,mistral-large,949,966,req_252
2026-06-01 00:04:13,llama-3-70b,1678,252,req_253
2026-06-01 00:04:14,llama-3-70b,1376,306,req_254
2026-06-01 00:04:15,mistral-large,1458,730,req_255
2026-06-01 00:04:16,gpt-4o,580,219,req_256
2026-06-01 00:04:17,llama-3-70b,1544,162,req_257
2026-06-01 00:04:18,mistral-large,866,73,req_258
2026-06-01 00:04:19,llama-3-70b,1010,397,req_259
2026-06-01 00:04:20,llama-3-70b,1215,89,req_260
2026-06-01 00:04:21,gpt-4o,467,271,req_261
2026-06-01 00:04:22,mistral-large,927,73,req_262
2026-06-01 00:04:23,mistral-large,1884,615,req_263
2026-06-01 00:04:24,gpt-4o,842,351,req_264
2026-06-01 00:04:25,gpt-4o,1097,1013,req_265
2026-06-01 00:04:26,mistral-large,848,966,req_266
2026-06-01 00:04:27,mistral-large,1293,732,req_267
2026-06-01 00:04:28,gpt-4o,202,931,req_268
2026-06-01 00:04:29,llama-3-70b,1688,677,req_269
2026-06-01 00:04:30,llama-3-70b,625,427,req_270
2026-06-01 00:04:31,gpt-4o,2005,610,req_271
2026-06-01 00:04:32,llama-3-70b,415,178,req_272
2026-06-01 00:04:33,gpt-4o,1759,681,req_273
2026-06-01 00:04:34,llama-3-70b,1787,119,req_274
2026-06-01 00:04:35,llama-3-70b,952,224,req_275
2026-06-01 00:04:36,mistral-large,730,960,req_276
2026-06-01 00:04:37,mistral-large,102,35,req_277
2026-06-01 00:04:38,llama-3-70b,439,527,req_278
2026-06-01 00:04:39,llama-3-70b,663,347,req_279
2026-06-01 00:04:40,mistral-large,1467,381,req_280
2026-06-01 00:04:41,mistral-large,1437,134,req_281
2026-06-01 00:04:42,mistral-large,443,1004,req_282
2026-06-01 00:04:43,gpt-4o,1145,621,req_283
2026-06-01 00:04:44,llama-3-70b,1962,543,req_284
2026-06-01 00:04:45,mistral-large,384,743,req_285
2026-06-01 00:04:46,llama-3-70b,1092,6,req_286
2026-06-01 00:04:47,gpt-4o,1076,875,req_287
2026-06-01 00:04:48,gpt-4o,216,105,req_288
2026-06-01 00:04:49,mistral-large,789,537,req_289
2026-06-01 00:04:50,gpt-4o,1329,62,req_290
2026-06-01 00:04:51,llama-3-70b,1151,393,req_291
2026-06-01 00:04:52,mistral-large,541,696,req_292
2026-06-01 00:04:53,llama-3-70b,1255,945,req_293
2026-06-01 00:04:54,llama-3-70b,175,345,req_294
2026-06-01 00:04:55,gpt-4o,652,865,req_295
2026-06-01 00:04:56,gpt-4o,1189,24,req_296
2026-06-01 00:04:57,gpt-4o,1217,259,req_297
2026-06-01 00:04:58,gpt-4o,99,321,req_298
2026-06-01 00:04:59,gpt-4o,1127,42,req_299
2026-06-01 00:05:00,mistral-large,22,664,req_300
2026-06-01 00:05:01,llama-3-70b,982,1014,req_301
2026-06-01 00:05:02,llama-3-70b,1867,541,req_302
2026-06-01 00:05:03,llama-3-70b,814,390,req_303
2026-06-01 00:05:04,llama-3-70b,954,637,req_304
2026-06-01 00:05:05,gpt-4o,751,932,req_305
2026-06-01 00:05:06,llama-3-70b,1867,30,req_306
2026-06-01 00:05:07,mistral-large,1837,458,req_307
2026-06-01 00:05:08,mistral-large,1471,685,req_308
2026-06-01 00:05:09,llama-3-70b,1571,1021,req_309
2026-06-01 00:05:10,llama-3-70b,1620,327,req_310
2026-06-01 00:05:11,mistral-large,2001,741,req_311
2026-06-01 00:05:12,mistral-large,885,517,req_312
2026-06-01 00:05:13,gpt-4o,1969,823,req_313
2026-06-01 00:05:14,mistral-large,1844,777,req_314
2026-06-01 00:05:15,gpt-4o,1183,17,req_315
2026-06-01 00:05:16,gpt-4o,669,919,req_316
2026-06-01 00:05:17,gpt-4o,1041,912,req_317
2026-06-01 00:05:18,gpt-4o,1062,564,req_318
2026-06-01 00:05:19,gpt-4o,305,925,req_319
2026-06-01 00:05:20,llama-3-70b,995,829,req_320
2026-06-01 00:05:21,mistral-large,935,375,req_321
2026-06-01 00:05:22,gpt-4o,1754,295,req_322
2026-06-01 00:05:23,mistral-large,649,336,req_323
2026-06-01 00:05:24,mistral-large,349,610,req_324
2026-06-01 00:05:25,gpt-4o,637,265,req_325
2026-06-01 00:05:26,llama-3-70b,448,998,req_326
2026-06-01 00:05:27,gpt-4o,1177,794,req_327
2026-06-01 00:05:28,llama-3-70b,951,875,req_328
2026-06-01 00:05:29,mistral-large,839,209,req_329
2026-06-01 00:05:30,llama-3-70b,1780,701,req_330
2026-06-01 00:05:31,llama-3-70b,528,691,req_331
2026-06-01 00:05:32,llama-3-70b,985,954,req_332
2026-06-01 00:05:33,mistral-large,1078,391,req_333
2026-06-01 00:05:34,mistral-large,964,896,req_334
2026-06-01 00:05:35,llama-3-70b,1272,825,req_335
2026-06-01 00:05:36,llama-3-70b,961,472,req_336
2026-06-01 00:05:37,gpt-4o,953,419,req_337
2026-06-01 00:05:38,llama-3-70b,164,73,req_338
2026-06-01 00:05:39,gpt-4o,1214,476,req_339
2026-06-01 00:05:40,llama-3-70b,1248,108,req_340
2026-06-01 00:05:41,gpt-4o,97,762,req_341
2026-06-01 00:05:42,mistral-large,1289,165,req_342
2026-06-01 00:05:43,llama-3-70b,1544,204,req_343
2026-06-01 00:05:44,llama-3-70b,1106,220,req_344
2026-06-01 00:05:45,llama-3-70b,940,950,req_345
2026-06-01 00:05:46,llama-3-70b,188,216,req_346
2026-06-01 00:05:47,gpt-4o,221,512,req_347
2026-06-01 00:05:48,llama-3-70b,1838,20,req_348
2026-06-01 00:05:49,mistral-large,1267,502,req_349
2026-06-01 00:05:50,mistral-large,474,888,req_350
2026-06-01 00:05:51,llama-3-70b,1784,336,req_351
2026-06-01 00:05:52,mistral-large,1256,721,req_352
2026-06-01 00:05:53,llama-3-70b,640,881,req_353
2026-06-01 00:05:54,llama-3-70b,834,1006,req_354
2026-06-01 00:05:55,mistral-large,1297,555,req_355
2026-06-01 00:05:56,llama-3-70b,1240,605,req_356
2026-06-01 00:05:57,mistral-large,616,946,req_357
2026-06-01 00:05:58,gpt-4o,894,260,req_358
2026-06-01 00:05:59,llama-3-70b,1767,996,req_359
2026-06-01 00:06:00,gpt-4o,375,770,req_360
2026-06-01 00:06:01,mistral-large,285,732,req_361
2026-06-01 00:06:02,gpt-4o,389,884,req_362
2026-06-01 00:06:03,gpt-4o,1776,819,req_363
2026-06-01 00:06:04,mistral-large,1342,176,req_364
2026-06-01 00:06:05,gpt-4o,1664,653,req_365
2026-06-01 00:06:06,gpt-4o,1301,1004,req_366
2026-06-01 00:06:07,mistral-large,954,502,req_367
2026-06-01 00:06:08,gpt-4o,1818,475,req_368
2026-06-01 00:06:09,mistral-large,1097,388,req_369
2026-06-01 00:06:10,gpt-4o,819,694,req_370
2026-06-01 00:06:11,mistral-large,1383,593,req_371
2026-06-01 00:06:12,mistral-large,934,704,req_372
2026-06-01 00:06:13,gpt-4o,1948,511,req_373
2026-06-01 00:06:14,gpt-4o,503,996,req_374
2026-06-01 00:06:15,gpt-4o,1556,1014,req_375
2026-06-01 00:06:16,llama-3-70b,1131,531,req_376
2026-06-01 00:06:17,llama-3-70b,1979,808,req_377
2026-06-01 00:06:18,llama-3-70b,1104,1013,req_378
2026-06-01 00:06:19,mistral-large,373,835,req_379
2026-06-01 00:06:20,gpt-4o,579,329,req_380
2026-06-01 00:06:21,mistral-large,1835,218,req_381
2026-06-01 00:06:22,llama-3-70b,772,212,req_382
2026-06-01 00:06:23,gpt-4o,285,173,req_383
2026-06-01 00:06:24,mistral-large,59,334,req_384
2026-06-01 00:06:25,gpt-4o,1391,284,req_385
2026-06-01 00:06:26,mistral-large,737,982,req_386
2026-06-01 00:06:27,gpt-4o,915,309,req_387
2026-06-01 00:06:28,llama-3-70b,937,150,req_388
2026-06-01 00:06:29,llama-3-70b,573,779,req_389
2026-06-01 00:06:30,gpt-4o,792,520,req_390
2026-06-01 00:06:31,mistral-large,494,94,req_391
2026-06-01 00:06:32,llama-3-70b,1117,457,req_392
2026-06-01 00:06:33,llama-3-70b,1932,64,req_393
2026-06-01 00:06:34,llama-3-70b,1838,315,req_394
2026-06-01 00:06:35,gpt-4o,1671,532,req_395
2026-06-01 00:06:36,gpt-4o,1841,231,req_396
2026-06-01 00:06:37,mistral-large,593,478,req_397
2026-06-01 00:06:38,mistral-large,1329,982,req_398
2026-06-01 00:06:39,mistral-large,245,545,req_399
2026-06-01 00:06:40,gpt-4o,65,667,req_400
2026-06-01 00:06:41,gpt-4o,1952,761,req_401
2026-06-01 00:06:42,mistral-large,369,786,req_402
2026-06-01 00:06:43,mistral-large,1940,83,req_403
2026-06-01 00:06:44,gpt-4o,119,437,req_404
2026-06-01 00:06:45,mistral-large,201,805,req_405
2026-06-01 00:06:46,llama-3-70b,913,157,req_406
2026-06-01 00:06:47,gpt-4o,1126,793,req_407
2026-06-01 00:06:48,mistral-large,871,405,req_408
2026-06-01 00:06:49,gpt-4o,577,283,req_409
2026-06-01 00:06:50,llama-3-70b,1093,61,req_410
2026-06-01 00:06:51,gpt-4o,659,1007,req_411
2026-06-01 00:06:52,gpt-4o,48,981,req_412
2026-06-01 00:06:53,gpt-4o,1573,190,req_413
2026-06-01 00:06:54,gpt-4o,1082,402,req_414
2026-06-01 00:06:55,llama-3-70b,1453,609,req_415
2026-06-01 00:06:56,gpt-4o,646,792,req_416
2026-06-01 00:06:57,gpt-4o,1046,162,req_417
2026-06-01 00:06:58,mistral-large,2025,791,req_418
2026-06-01 00:06:59,gpt-4o,45,697,req_419
2026-06-01 00:07:00,mistral-large,110,363,req_420
2026-06-01 00:07:01,llama-3-70b,1827,444,req_421
2026-06-01 00:07:02,llama-3-70b,1119,593,req_422
2026-06-01 00:07:03,llama-3-70b,1549,470,req_423
2026-06-01 00:07:04,llama-3-70b,1256,667,req_424
2026-06-01 00:07:05,mistral-large,1371,450,req_425
2026-06-01 00:07:06,gpt-4o,1993,754,req_426
2026-06-01 00:07:07,llama-3-70b,175,805,req_427
2026-06-01 00:07:08,gpt-4o,392,747,req_428
2026-06-01 00:07:09,mistral-large,1889,492,req_429
2026-06-01 00:07:10,mistral-large,1928,534,req_430
2026-06-01 00:07:11,mistral-large,1409,77,req_431
2026-06-01 00:07:12,llama-3-70b,1504,933,req_432
2026-06-01 00:07:13,gpt-4o,799,932,req_433
2026-06-01 00:07:14,gpt-4o,1675,705,req_434
2026-06-01 00:07:15,gpt-4o,40,954,req_435
2026-06-01 00:07:16,mistral-large,1408,21,req_436
2026-06-01 00:07:17,llama-3-70b,20,535,req_437
2026-06-01 00:07:18,mistral-large,2021,735,req_438
2026-06-01 00:07:19,mistral-large,1335,330,req_439
2026-06-01 00:07:20,gpt-4o,105,999,req_440
2026-06-01 00:07:21,mistral-large,1223,636,req_441
2026-06-01 00:07:22,gpt-4o,462,617,req_442
2026-06-01 00:07:23,llama-3-70b,201,550,req_443
2026-06-01 00:07:24,gpt-4o,495,600,req_444
2026-06-01 00:07:25,llama-3-70b,1299,925,req_445
2026-06-01 00:07:26,gpt-4o,1457,712,req_446
2026-06-01 00:07:27,mistral-large,1161,846,req_447
2026-06-01 00:07:28,mistral-large,247,206,req_448
2026-06-01 00:07:29,llama-3-70b,1953,348,req_449
2026-06-01 00:07:30,llama-3-70b,1388,857,req_450
2026-06-01 00:07:31,llama-3-70b,1973,527,req_451
2026-06-01 00:07:32,gpt-4o,1145,863,req_452
2026-06-01 00:07:33,gpt-4o,1861,404,req_453
2026-06-01 00:07:34,llama-3-70b,1479,222,req_454
2026-06-01 00:07:35,mistral-large,1376,449,req_455
2026-06-01 00:07:36,gpt-4o,1178,769,req_456
2026-06-01 00:07:37,gpt-4o,1098,226,req_457
2026-06-01 00:07:38,gpt-4o,1280,387,req_458
2026-06-01 00:07:39,llama-3-70b,744,885,req_459
2026-06-01 00:07:40,llama-3-70b,1000,596,req_460
2026-06-01 00:07:41,llama-3-70b,1523,11,req_461
2026-06-01 00:07:42,llama-3-70b,834,276,req_462
2026-06-01 00:07:43,llama-3-70b,1472,743,req_463
2026-06-01 00:07:44,mistral-large,115,1022,req_464
2026-06-01 00:07:45,mistral-large,190,20,req_465
2026-06-01 00:07:46,llama-3-70b,193,428,req_466
2026-06-01 00:07:47,gpt-4o,235,528,req_467
2026-06-01 00:07:48,llama-3-70b,786,807,req_468
2026-06-01 00:07:49,mistral-large,799,757,req_469
2026-06-01 00:07:50,mistral-large,1942,25,req_470
2026-06-01 00:07:51,gpt-4o,1122,694,req_471
2026-06-01 00:07:52,mistral-large,697,943,req_472
2026-06-01 00:07:53,llama-3-70b,539,232,req_473
2026-06-01 00:07:54,gpt-4o,1404,1012,req_474
2026-06-01 00:07:55,llama-3-70b,981,789,req_475
2026-06-01 00:07:56,llama-3-70b,945,292,req_476
2026-06-01 00:07:57,gpt-4o,1946,813,req_477
2026-06-01 00:07:58,llama-3-70b,1432,138,req_478
2026-06-01 00:07:59,mistral-large,115,988,req_479
2026-06-01 00:08:00,llama-3-70b,1304,287,req_480
2026-06-01 00:08:01,gpt-4o,2008,408,req_481
2026-06-01 00:08:02,gpt-4o,840,669,req_482
2026-06-01 00:08:03,gpt-4o,1536,70,req_483
2026-06-01 00:08:04,llama-3-70b,688,653,req_484
2026-06-01 00:08:05,gpt-4o,1558,608,req_485
2026-06-01 00:08:06,gpt-4o,858,441,req_486
2026-06-01 00:08:07,llama-3-70b,1065,833,req_487
